"Year","Country","Actuals","Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1960","USA",15500,,,,,
"1961","USA",15600,,,,,
"1962","USA",16300,,,,,
"1963","USA",16700,,,,,
"1964","USA",17500,,,,,
"1965","USA",18300,,,,,
"1966","USA",19300,,,,,
"1967","USA",19600,,,,,
"1968","USA",20300,,,,,
"1969","USA",20700,,,,,
"1970","USA",21200,,,,,
"1971","USA",21600,,,,,
"1972","USA",22500,,,,,
"1973","USA",23500,,,,,
"1974","USA",23200,,,,,
"1975","USA",22900,,,,,
"1976","USA",23900,,,,,
"1977","USA",24800,,,,,
"1978","USA",25900,,,,,
"1979","USA",26400,,,,,
"1980","USA",26100,,,,,
"1981","USA",26500,,,,,
"1982","USA",25700,,,,,
"1983","USA",26700,,,,,
"1984","USA",28400,,,,,
"1985","USA",29300,,,,,
"1986","USA",30100,,,,,
"1987","USA",30800,,,,,
"1988","USA",31900,,,,,
"1989","USA",32700,,,,,
"1990","USA",33000,,,,,
"1991","USA",32500,,,,,
"1992","USA",33200,,,,,
"1993","USA",33700,,,,,
"1994","USA",34600,,,,,
"1995","USA",35100,,,,,
"1996","USA",36000,,,,,
"1997","USA",37200,,,,,
"1998","USA",38400,,,,,
"1999","USA",39800,,,,,
"2000","USA",41000,,,,,
"2001","USA",40900,,,,,
"2002","USA",41300,,,,,
"2003","USA",42100,,,,,
"2004","USA",43300,,,,,
"2005","USA",44300,,,,,
"2006","USA",45100,,,,,
"2007","USA",45400,,,,,
"2008","USA",44900,,,,,
"2009","USA",43200,,,,,
"2010","USA",44000,,,,,
"2011","USA",44400,,,,,
"2012","USA",45300,,,,,
"2013","USA",,45991.3908917832,45244.515294403,46738.2664891633,44849.1432357749,47133.6385477914
"2014","USA",,46563.9847417924,45354.1972170672,47773.7722665177,44713.7743865035,48414.1950970814
"2015","USA",,47136.5785918017,45597.3097549835,48675.84742862,44782.4700535264,49490.687130077
"2016","USA",,47709.172441811,45899.4455980529,49518.8992855691,44941.4340760794,50476.9108075426
"2017","USA",,48281.7662918203,46237.0477424748,50326.4848411658,45154.6391258251,51408.8934578155
"2018","USA",,48854.3601418296,46599.0028213465,51109.7174623126,45405.0887747917,52303.6315088674
"2019","USA",,49426.9539918389,46979.0162189215,51874.8917647562,45683.1562389375,53170.7517447402
"2020","USA",,49999.5478418481,47373.1126080961,52625.9830756002,45982.7617801078,54016.3339035885
"2021","USA",,50572.1416918574,47778.5911313497,53365.6922523652,46299.7747931754,54844.5085905394
"2022","USA",,51144.7355418667,48193.5175846273,54095.9534991061,46631.2371683081,55658.2339154253
"2023","USA",,51717.329391876,48616.4504635476,54818.2083202044,46974.9443147994,56459.7144689525
"2024","USA",,52289.9232418853,49046.2813342188,55533.5651495517,47329.2010292996,57250.6454544709
"2025","USA",,52862.5170918945,49482.1361189584,56242.8980648307,47692.6705253509,58032.3636584381
"2026","USA",,53435.1109419038,49923.3110872413,56946.9107965663,48064.2765399915,58805.9453438161
"2027","USA",,54007.7047919131,50369.2297107525,57646.1798730737,48443.1373492517,59572.2722345745
