Year-Week,actual,seasonally adjusted,HW fitted,HW fitted level
2008 01,434.72,126.0924238,,
2008 02,540.83,429.477015,1420.302424,1420.302424
2008 03,557.7,559.5740275,1401.449242,1401.449242
2008 04,583.9,649.5472351,1363.956084,1363.956084
2008 05,620.49,689.1872351,1339.354994,1339.354994
2008 06,630.54,713.3553483,1323.596285,1323.596285
2008 07,643.3,823.492864,1309.564796,1309.564796
2008 08,645.64,851.6978326,1339.791377,1339.791377
2008 09,646.75,857.3595936,1311.964462,1311.964462
2008 10,663.73,881.5504426,1261.135338,1261.135338
2008 11,669.22,892.4465747,1261.104805,1261.104805
2008 12,669.98,902.6951596,1274.932718,1274.932718
2008 13,671.26,912.8294992,1288.013103,1288.013103
2008 14,676.28,940.4930527,1232.117938,1232.117938
2008 15,687.63,945.038147,1210.927392,1210.927392
2008 16,714.5,955.9577068,1197.81544,1197.81544
2008 17,717.79,977.1444049,1189.034059,1189.034059
2008 18,718.16,991.23582,1173.856448,1173.856448
2008 19,730.64,1004.102518,1226.916417,1226.916417
2008 20,747.55,1023.903304,1234.642683,1234.642683
2008 21,749.12,1033.86582,1239.31383,1239.31383
2008 22,757.8,1037.112518,1212.697736,1212.697736
2008 23,766.06,1038.48516,1129.319475,1129.319475
2008 24,773.04,1039.973745,1157.419482,1157.419482
2008 25,775.6,1040.049311,1188.288572,1188.288572
2008 26,781.66,1043.348839,1202.102515,1202.102515
2008 27,783.78,1044.383745,1202.130559,1202.130559
2008 28,801.95,1055.574405,1228.093658,1228.093658
2008 29,806.16,1065.283178,1230.489996,1230.489996
2008 30,825.51,1069.428147,1269.414011,1269.414011
2008 31,826.87,1072.856575,1254.068537,1254.068537
2008 32,830.51,1075.495631,1230.007014,1230.007014
2008 33,867.45,1083.374405,1198.814048,1198.814048
2008 34,887.97,1084.54516,1215.462848,1215.462848
2008 35,894.95,1094.408178,1210.766841,1210.766841
2008 36,895.47,1097.408839,1221.26606,1221.26606
2008 37,901.3,1102.905443,1221.211098,1221.211098
2008 38,901.93,1110.589499,1226.023301,1226.023301
2008 39,906.3,1110.78516,1226.557026,1226.557026
2008 40,906.76,1125.517707,1233.28839,1233.28839
2008 41,917.68,1133.983745,1235.001354,1235.001354
2008 42,949.92,1135.229311,1206.023847,1206.023847
2008 43,950.05,1140.734594,1225.503899,1225.503899
2008 44,967.88,1143.623367,1223.509023,1223.509023
2008 45,1002.89,1154.263367,1220.213133,1220.213133
2008 46,1003.45,1157.144782,1218.443902,1218.443902
2008 47,1004.84,1160.271763,1215.93965,1215.93965
2008 48,1005.04,1163.204594,1205.162988,1205.162988
2008 49,1007.82,1171.676952,1167.425214,1167.425214
2008 50,1008.28,1174.603273,1170.632084,1170.632084
2008 51,1014.87,1180.556197,1162.548368,1162.548368
2008 52,1027.24,1185.807895,1140.986612,1140.986612
2008 53,1061.9,1189.504405,1151.08243,1151.08243
2009 01,1065.05,1197.156103,1162.920229,1162.920229
2009 02,1073.06,1197.724877,1174.62752,1174.62752
2009 03,1084.6,1199.506197,1182.631959,1182.631959
2009 04,1088.54,1201.406575,1200.651699,1200.651699
2009 05,1090.69,1202.46799,1192.729586,1192.729586
2009 06,1094.02,1209.217895,1181.008204,1181.008204
2009 07,1101.95,1209.382424,1179.642083,1179.642083
2009 08,1101.98,1214.70799,1177.915802,1177.915802
2009 09,1103.46,1215.047707,1168.528205,1168.528205
2009 10,1121.89,1220.549782,1131.747033,1131.747033
2009 11,1139.13,1222.082801,1141.967871,1141.967871
2009 12,1145.39,1229.682424,1154.786514,1154.786514
2009 13,1155.35,1232.202141,1165.260762,1165.260762
2009 14,1156.77,1232.515443,1175.257761,1175.257761
2009 15,1164.39,1232.978933,1178.310954,1178.310954
2009 16,1177.44,1234.01516,1198.410983,1198.410983
2009 17,1179.85,1237.792424,1197.727557,1197.727557
2009 18,1181.67,1242.397895,1185.153988,1185.153988
2009 19,1188.02,1244.583461,1176.537094,1176.537094
2009 20,1188.64,1244.958933,1176.164162,1176.164162
2009 21,1197.39,1250.893273,1200.38978,1200.38978
2009 22,1210.4,1255.612141,1215.289508,1215.289508
2009 23,1217.44,1259.323304,1216.393916,1216.393916
2009 24,1222.62,1260.629782,1207.685629,1207.685629
2009 25,1226.1,1260.737424,1208.790364,1208.790364
2009 26,1254.68,1261.357707,1199.256683,1199.256683
2009 27,1261.48,1262.394028,1200.442304,1200.442304
2009 28,1278.09,1264.377895,1217.042334,1217.042334
2009 29,1317.96,1264.947424,1202.222237,1202.222237
2009 30,1318.5,1266.029405,1142.927337,1142.927337
2009 31,1322.28,1272.557707,1127.742747,1127.742747
2009 32,1328.28,1278.943273,1158.632324,1158.632324
2009 33,1372.7,1283.924877,1201.30961,1201.30961
2009 34,1375.93,1285.657424,1188.815635,1188.815635
2009 35,1408.49,1291.289405,1196.906167,1196.906167
2009 36,1410.78,1294.253367,1190.297861,1190.297861
