ID,eruptions,waiting,DayOfWeek
1,3.6,79,Monday
2,1.8,54,Tuesday
3,3.333,74,Wednesday
4,2.283,62,Thursday
5,4.533,85,Friday
6,2.883,55,Saturday
7,4.7,88,Sunday
8,3.6,85,Monday
9,1.95,51,Tuesday
10,4.35,85,Wednesday
11,1.833,54,Thursday
12,3.917,84,Friday
13,4.2,78,Saturday
14,1.75,47,Sunday
15,4.7,83,Monday
16,2.167,52,Tuesday
17,1.75,62,Wednesday
18,4.8,84,Thursday
19,1.6,52,Friday
20,4.25,79,Saturday
21,1.8,51,Sunday
22,1.75,47,Monday
23,3.45,78,Tuesday
24,3.067,69,Wednesday
25,4.533,74,Thursday
26,3.6,83,Friday
27,1.967,55,Saturday
28,4.083,76,Sunday
29,3.85,78,Monday
30,4.433,79,Tuesday
31,4.3,73,Wednesday
32,4.467,77,Thursday
33,3.367,66,Friday
34,4.033,80,Saturday
35,3.833,74,Sunday
36,2.017,52,Monday
37,1.867,48,Tuesday
38,4.833,80,Wednesday
39,1.833,59,Thursday
40,4.783,90,Friday
41,4.35,80,Saturday
42,1.883,58,Sunday
43,4.567,84,Monday
44,1.75,58,Tuesday
45,4.533,73,Wednesday
46,3.317,83,Thursday
47,3.833,64,Friday
48,2.1,53,Saturday
49,4.633,82,Sunday
50,2,59,Monday
51,4.8,75,Tuesday
52,4.716,90,Wednesday
53,1.833,54,Thursday
54,4.833,80,Friday
55,1.733,54,Saturday
56,4.883,83,Sunday
57,3.717,71,Monday
58,1.667,64,Tuesday
59,4.567,77,Wednesday
60,4.317,81,Thursday
61,2.233,59,Friday
62,4.5,84,Saturday
63,1.75,48,Sunday
64,4.8,82,Monday
65,1.817,60,Tuesday
66,4.4,92,Wednesday
67,4.167,78,Thursday
68,4.7,78,Friday
69,2.067,65,Saturday
70,4.7,73,Sunday
71,4.033,82,Monday
72,1.967,56,Tuesday
73,4.5,79,Wednesday
74,4,71,Thursday
75,1.983,62,Friday
76,5.067,76,Saturday
77,2.017,60,Sunday
78,4.567,78,Monday
79,3.883,76,Tuesday
80,3.6,83,Wednesday
81,4.133,75,Thursday
82,4.333,82,Friday
83,4.1,70,Saturday
84,2.633,65,Sunday
85,4.067,73,Monday
86,4.933,88,Tuesday
87,3.95,76,Wednesday
88,4.517,80,Thursday
89,2.167,48,Friday
90,4,86,Saturday
91,2.2,60,Sunday
92,4.333,90,Monday
93,1.867,50,Tuesday
94,4.817,78,Wednesday
95,1.833,63,Thursday
96,4.3,72,Friday
97,4.667,84,Saturday
98,3.75,75,Sunday
99,1.867,51,Monday
100,4.9,82,Tuesday
101,2.483,62,Wednesday
102,4.367,88,Thursday
103,2.1,49,Friday
104,4.5,83,Saturday
105,4.05,81,Sunday
106,1.867,47,Monday
107,4.7,84,Tuesday
108,1.783,52,Wednesday
109,4.85,86,Thursday
110,3.683,81,Friday
111,4.733,75,Saturday
112,2.3,59,Sunday
113,4.9,89,Monday
114,4.417,79,Tuesday
115,1.7,59,Wednesday
116,4.633,81,Thursday
117,2.317,50,Friday
118,4.6,85,Saturday
119,1.817,59,Sunday
120,4.417,87,Monday
121,2.617,53,Tuesday
122,4.067,69,Wednesday
123,4.25,77,Thursday
124,1.967,56,Friday
125,4.6,88,Saturday
126,3.767,81,Sunday
127,1.917,45,Monday
128,4.5,82,Tuesday
129,2.267,55,Wednesday
130,4.65,90,Thursday
131,1.867,45,Friday
132,4.167,83,Saturday
133,2.8,56,Sunday
134,4.333,89,Monday
135,1.833,46,Tuesday
136,4.383,82,Wednesday
137,1.883,51,Thursday
138,4.933,86,Friday
139,2.033,53,Saturday
140,3.733,79,Sunday
141,4.233,81,Monday
142,2.233,60,Tuesday
143,4.533,82,Wednesday
144,4.817,77,Thursday
145,4.333,76,Friday
146,1.983,59,Saturday
147,4.633,80,Sunday
148,2.017,49,Monday
149,5.1,96,Tuesday
150,1.8,53,Wednesday
151,5.033,77,Thursday
152,4,77,Friday
153,2.4,65,Saturday
154,4.6,81,Sunday
155,3.567,71,Monday
156,4,70,Tuesday
157,4.5,81,Wednesday
158,4.083,93,Thursday
159,1.8,53,Friday
160,3.967,89,Saturday
161,2.2,45,Sunday
162,4.15,86,Monday
163,2,58,Tuesday
164,3.833,78,Wednesday
165,3.5,66,Thursday
166,4.583,76,Friday
167,2.367,63,Saturday
168,5,88,Sunday
169,1.933,52,Monday
170,4.617,93,Tuesday
171,1.917,49,Wednesday
172,2.083,57,Thursday
173,4.583,77,Friday
174,3.333,68,Saturday
175,4.167,81,Sunday
176,4.333,81,Monday
177,4.5,73,Tuesday
178,2.417,50,Wednesday
179,4,85,Thursday
180,4.167,74,Friday
181,1.883,55,Saturday
182,4.583,77,Sunday
183,4.25,83,Monday
184,3.767,83,Tuesday
185,2.033,51,Wednesday
186,4.433,78,Thursday
187,4.083,84,Friday
188,1.833,46,Saturday
189,4.417,83,Sunday
190,2.183,55,Monday
191,4.8,81,Tuesday
192,1.833,57,Wednesday
193,4.8,76,Thursday
194,4.1,84,Friday
195,3.966,77,Saturday
196,4.233,81,Sunday
197,3.5,87,Monday
198,4.366,77,Tuesday
199,2.25,51,Wednesday
200,4.667,78,Thursday
201,2.1,60,Friday
202,4.35,82,Saturday
203,4.133,91,Sunday
204,1.867,53,Monday
205,4.6,78,Tuesday
206,1.783,46,Wednesday
207,4.367,77,Thursday
208,3.85,84,Friday
209,1.933,49,Saturday
210,4.5,83,Sunday
211,2.383,71,Monday
212,4.7,80,Tuesday
213,1.867,49,Wednesday
214,3.833,75,Thursday
215,3.417,64,Friday
216,4.233,76,Saturday
217,2.4,53,Sunday
218,4.8,94,Monday
219,2,55,Tuesday
220,4.15,76,Wednesday
221,1.867,50,Thursday
222,4.267,82,Friday
223,1.75,54,Saturday
224,4.483,75,Sunday
225,4,78,Monday
226,4.117,79,Tuesday
227,4.083,78,Wednesday
228,4.267,78,Thursday
229,3.917,70,Friday
230,4.55,79,Saturday
231,4.083,70,Sunday
232,2.417,54,Monday
233,4.183,86,Tuesday
234,2.217,50,Wednesday
235,4.45,90,Thursday
236,1.883,54,Friday
237,1.85,54,Saturday
238,4.283,77,Sunday
239,3.95,79,Monday
240,2.333,64,Tuesday
241,4.15,75,Wednesday
242,2.35,47,Thursday
243,4.933,86,Friday
244,2.9,63,Saturday
245,4.583,85,Sunday
246,3.833,82,Monday
247,2.083,57,Tuesday
248,4.367,82,Wednesday
249,2.133,67,Thursday
250,4.35,74,Friday
251,2.2,54,Saturday
252,4.45,83,Sunday
253,3.567,73,Monday
254,4.5,73,Tuesday
255,4.15,88,Wednesday
256,3.817,80,Thursday
257,3.917,71,Friday
258,4.45,83,Saturday
259,2,56,Sunday
260,4.283,79,Monday
261,4.767,78,Tuesday
262,4.533,84,Wednesday
263,1.85,58,Thursday
264,4.25,83,Friday
265,1.983,43,Saturday
266,2.25,60,Sunday
267,4.75,75,Monday
268,4.117,81,Tuesday
269,2.15,46,Wednesday
270,4.417,90,Thursday
271,1.817,46,Friday
272,4.467,74,Saturday
